"","GAME_ID","League","Day/Night","PlayingSurface","Weather","WindSpeed","WindDirection","Temperature"
"96","2013/04/08/nyamlb-clemlb-1","AL","D","G","Cloudy",12,"Out To CF",68
"97","2013/04/08/pitmlb-arimlb-1","NL","N","G","Roof Closed",0,"None",75
"98","2013/04/08/tbamlb-texmlb-1","AL","N","G","Cloudy",21,"R To L",73
"99","2013/04/08/cinmlb-slnmlb-1","NL","D","G","Cloudy",10,"R To L",78
"100","2013/04/08/nynmlb-phimlb-1","NL","N","G","Partly Cloudy",10,"Out To CF",72
"101","2013/04/08/atlmlb-miamlb-1","NL","N","G","Partly Cloudy",9,"In From LF",79
"102","2013/04/08/houmlb-seamlb-1","AL","N","G","Cloudy",2,"Out To LF",56
"103","2013/04/09/chamlb-wasmlb-1","NL","N","G","Clear",9,"L To R",81
"104","2013/04/09/colmlb-sfnmlb-1","NL","N","G","Clear",11,"Out To RF",64
"105","2013/04/09/lanmlb-sdnmlb-1","NL","D","G","Sunny",12,"L To R",67
"106","2013/04/09/milmlb-chnmlb-1","NL","N","G","Cloudy",23,"In From LF",39
"107","2013/04/09/minmlb-kcamlb-1","AL","N","G","Cloudy",9,"R To L",71
"108","2013/04/09/nyamlb-clemlb-1","AL","N","G","Overcast",8,"Out To RF",62
"109","2013/04/09/oakmlb-anamlb-1","AL","N","G","Clear",6,"Out To CF",68
"110","2013/04/09/pitmlb-arimlb-1","NL","N","G","Cloudy",10,"Out To RF",73
"111","2013/04/09/tbamlb-texmlb-1","AL","N","G","Cloudy",11,"In From RF",79
"112","2013/04/09/tormlb-detmlb-1","AL","D","G","Cloudy",5,"In From CF",48
"113","2013/04/09/nynmlb-phimlb-1","NL","N","G","Clear",8,"R To L",81
"114","2013/04/09/atlmlb-miamlb-1","NL","N","G","Partly Cloudy",10,"In From LF",76
"115","2013/04/09/cinmlb-slnmlb-1","NL","N","G","Partly Cloudy",6,"R To L",77
"116","2013/04/09/houmlb-seamlb-1","AL","N","G","Cloudy",0,"None",55
"117","2013/04/10/balmlb-bosmlb-1","AL","N","G","Cloudy",11,"In From RF",53
"118","2013/04/10/chamlb-wasmlb-1","NL","N","G","Partly Cloudy",12,"Out To CF",82
"119","2013/04/10/colmlb-sfnmlb-1","NL","D","G","Sunny",3,"L To R",78
"120","2013/04/10/lanmlb-sdnmlb-1","NL","N","G","Clear",10,"L To R",67
"121","2013/07/30/milmlb-chnmlb-1","NL","D","G","Cloudy",3,"Out To RF",70
"122","2013/04/10/minmlb-kcamlb-1","AL","N","G","Overcast",5,"L To R",45
"123","2013/05/13/nyamlb-clemlb-1","AL","D","G","Sunny",13,"Out To RF",44
"124","2013/04/10/oakmlb-anamlb-1","AL","N","G","Clear",6,"Out To CF",72
"125","2013/04/10/pitmlb-arimlb-1","NL","D","G","Sunny",4,"In From LF",70
"126","2013/04/10/tbamlb-texmlb-1","AL","D","G","Cloudy",13,"Varies",39
"127","2013/04/10/tormlb-detmlb-1","AL","D","G","Drizzle",7,"In From CF",42
"128","2013/04/10/cinmlb-slnmlb-1","NL","D","G","Cloudy",14,"Out To LF",76
"129","2013/04/10/nynmlb-phimlb-1","NL","N","G","Partly Cloudy",14,"L To R",76
"130","2013/04/10/atlmlb-miamlb-1","NL","N","G","Partly Cloudy",12,"In From CF",81
"131","2013/04/10/houmlb-seamlb-1","AL","N","G","Partly Cloudy",2,"In From CF",56
"132","2013/04/11/balmlb-bosmlb-1","AL","N","G","Cloudy",5,"In From RF",45
"133","2013/04/11/chamlb-wasmlb-1","NL","N","G","Cloudy",10,"In From CF",78
"134","2013/04/11/lanmlb-sdnmlb-1","NL","N","G","Overcast",7,"Varies",63
"135","2013/05/13/nyamlb-clemlb-2","AL","D","G","Sunny",9,"Out To RF",47
"136","2013/04/11/oakmlb-anamlb-1","AL","N","G","Clear",8,"Out To CF",61
"137","2013/04/11/sfnmlb-chnmlb-1","NL","D","G","Overcast",5,"In From RF",40
"138","2013/04/11/tormlb-detmlb-1","AL","D","G","Drizzle",20,"L To R",35
"139","2013/04/11/texmlb-seamlb-1","AL","N","G","Partly Cloudy",2,"Varies",53
"140","2013/04/12/atlmlb-wasmlb-1","NL","N","G","Partly Cloudy",11,"In From RF",64
"141","2013/04/12/balmlb-nyamlb-1","AL","N","G","Cloudy",15,"L To R",42
"142","2013/04/12/chamlb-clemlb-1","AL","N","G","Overcast",15,"Out To RF",42
"143","2013/04/12/cinmlb-pitmlb-1","NL","N","G","Partly Cloudy",15,"Out To LF",52
"144","2013/04/12/colmlb-sdnmlb-1","NL","N","G","Partly Cloudy",8,"L To R",62
"145","2013/04/12/detmlb-oakmlb-1","AL","N","G","Partly Cloudy",11,"Out To RF",59
"146","2013/04/12/houmlb-anamlb-1","AL","N","G","Clear",6,"Out To CF",66
"147","2013/04/12/lanmlb-arimlb-1","NL","N","G","Clear",2,"L To R",84
"148","2013/04/12/nynmlb-minmlb-1","AL","N","G","Snow",7,"L To R",34
"149","2013/04/12/sfnmlb-chnmlb-1","NL","D","G","Cloudy",10,"Out To RF",44
"150","2013/06/18/tbamlb-bosmlb-1","AL","D","G","Cloudy",8,"In From RF",72
