pitcher_id,Salary,FIP,rWAR,ERA,pct_F,pct_M,pct_O,count,pct_F_rel,pct_M_rel,pct_O_rel,pitcher_class,starter_reliever
408241,14725816.4,3.9316617,0.99,3.758,0.744808743,0.167486339,0.087704918,7320,0.12129639,-0.076517318,-0.038926144,F,1
421685,4500000,4.61835875,0.51,4.4275,0.653227686,0.265555814,0.0812165,8582,0.029715333,0.021552158,-0.045414562,F,1
424144,2062500,3.25232585,0.1525,4.125,0.621155289,0.376594149,0.002250563,2666,-0.002357064,0.132590492,-0.124380499,M,1
424324,2.50E+07,2.9556772,4.045,3.26,0.742869777,0.084015034,0.173115189,4523,0.119357424,-0.159988622,0.046484127,F,1
425386,7333333.333,4.838416467,0.133333333,4.706666667,0.53172673,0.249723635,0.218549635,9046,-0.091785623,0.005719978,0.091918574,O,1
425492,850000,3.0573693,1.69,2.13,0.668896321,0.036789298,0.294314381,897,0.045383968,-0.207214359,0.16768332,O,0
425514,9500000,4.0402396,-0.41,5.69,0.640136054,0.340136054,0.019727891,1470,0.016623701,0.096132398,-0.106903171,M,0
425532,2160000,4.23943142,0.012,5.828,0.750390503,0.106997813,0.142611684,6402,0.12687815,-0.137005843,0.015980622,F,1
425626,3968750,4.102874925,-0.425,5.2575,0.473190017,0.246849518,0.279960465,4047,-0.150322336,0.002845861,0.153329403,O,1
425646,1.00E+06,5.64354835,0.18,5.95,0.55985267,0.309392265,0.130755064,543,-0.063659683,0.065388609,0.004124003,M,0
425657,4083333.333,3.413059967,0.936666667,2.18,0.665298945,0.278429074,0.056271981,1706,0.041786592,0.034425417,-0.07035908,F,0
425786,8.00E+05,4.563826267,0.22,4.66,0.352072415,0.63792282,0.010004764,2099,-0.271439938,0.393919164,-0.116626297,M,1
425794,1.70E+07,2.561416133,4.373333333,2.31,0.696766065,0.274394512,0.028839423,7143,0.073253712,0.030390855,-0.097791638,F,1
425840,2733333.333,4.6890858,0.24,3.843333333,0.54083306,0.451295507,0.007871433,3049,-0.082679293,0.20729185,-0.118759628,M,1
425844,25333333.33,3.0110023,5.823333333,2.333333333,0.590107154,0.253490638,0.156402208,9239,-0.033405199,0.009486981,0.029771146,O,1
425856,5833333.333,3.8410558,0.32,3.51,0.753424658,0.181506849,0.065068493,1460,0.129912304,-0.062496807,-0.061562569,F,0
425861,1350000,7.2,-0.93,7.04,0.503464203,0.43187067,0.064665127,433,-0.12004815,0.187867013,-0.061965935,M,0
