NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
"Greinke, Zack",LAD,SP,$28000000,6 (2013-18),$147000000,$24500000
"Howard, Ryan",PHI,1B,$25000000,5 (2012-16),$125000000,$25000000
"Lee, Cliff",PHI,SP,$25000000,5 (2011-15),$120000000,$24000000
"Cano, Robinson",SEA,2B,$24000000,10 (2014-23),$240000000,$24000000
"Fielder, Prince",TEX,1B,$24000000,9 (2012-20),$214000000,$23777778
"Hamels, Cole",PHI,SP,$23500000,6 (2013-18),$144000000,$24000000
"Teixeira, Mark",NYY,1B,$23125000,8 (2009-16),$180000000,$22500000
"Pujols, Albert",LAA,1B,$23000000,10 (2012-21),$240000000,$24000000
"Mauer, Joe",MIN,1B,$23000000,8 (2011-18),$184000000,$23000000
"Sabathia, CC",NYY,SP,$23000000,5 (2012-16),$122000000,$24400000
"Hernandez, Felix",SEA,SP,$22857142,7 (2013-19),$175000000,$25000000
"Tanaka, Masahiro",NYY,SP,$22000000,7 (2014-20),$155000000,$22142857
"Cabrera, Miguel",DET,1B,$21943026,10 (2014-23),$292000000,$29200000
"Gonzalez, Adrian",LAD,1B,$21857142,7 (2012-18),$154000000,$22000000
"Kemp, Matt",LAD,CF,$21250000,8 (2012-19),$160000000,$20000000
"Ellsbury, Jacoby",NYY,CF,$21142857,7 (2014-20),$153000000,$21857143
"Crawford, Carl",LAD,LF,$21107142,7 (2011-17),$142000000,$20285714
"Cain, Matt",SF,SP,$20833333,6 (2012-17),$127500000,$21250000
"Werth, Jayson",WSH,RF,$20571428,7 (2011-17),$126000000,$18000000
"Verlander, Justin",DET,SP,$20000000,7 (2013-19),$180000000,$25714286
"Wainwright, Adam",STL,SP,$19500000,5 (2014-18),$97500000,$19500000
"Wright, David",NYM,3B,$19329646,8 (2013-20),$138000000,$17250000
"Kershaw, Clayton",LAD,SP,$19000000,7 (2014-20),$215000000,$30714286
"Soriano, Alfonso",NYY,LF,$19000000,8 (2007-14),$136000000,$17000000
"Buehrle, Mark",TOR,SP,$19000000,4 (2012-15),$58000000,$14500000
"Hamilton, Josh",LAA,LF,$17000000,5 (2013-17),$125000000,$25000000
"McCann, Brian",NYY,C,$17000000,5 (2014-18),$85000000,$17000000
"Beltre, Adrian",TEX,3B,$17000000,5 (2011-15),$80000000,$16000000
"Beckett, Josh",LAD,SP,$17000000,4 (2011-14),$68000000,$17000000
"Lincecum, Tim",SF,SP,$17000000,2 (2014-15),$35000000,$17500000
"Wilson, C.J.",LAA,SP,$16500000,5 (2012-16),$77500000,$15500000
"Holliday, Matt",STL,LF,$16252360,7 (2010-16),$120000000,$17142857
"Weaver, Jered",LAA,SP,$16200000,5 (2012-16),$85000000,$17000000
"Peavy, Jake",BOS,SP,$16157270,2 (2013-14),$29000000,$14500000
"Tulowitzki, Troy",COL,SS,$16000000,10 (2011-20),$157750000,$15775000
"Reyes, Jose",TOR,SS,$16000000,6 (2012-17),$106000000,$17666667
"Kinsler, Ian",DET,2B,$16000000,5 (2013-17),$75000000,$15000000
"Ramirez, Hanley",LAD,SS,$16000000,6 (2009-14),$70000000,$11666667
"Napoli, Mike",BOS,1B,$16000000,2 (2014-15),$32000000,$16000000
"Kuroda, Hiroki",NYY,SP,$16000000,1 (2014),$16000000,$16000000
"Lackey, John",BOS,SP,$15950000,5 (2010-14),$82500000,$16500000
"Sanchez, Anibal",DET,SP,$15800000,5 (2013-17),$80000000,$16000000
"Danks, John",CWS,SP,$15750000,5 (2012-16),$65000000,$13000000
"Scherzer, Max",DET,SP,$15525000,1 (2014),$15525000,$15525000
"Ethier, Andre",LAD,RF,$15500000,5 (2013-17),$85000000,$17000000
"Peralta, Jhonny",STL,SS,$15500000,4 (2014-17),$53000000,$13250000
"Ortiz, David",BOS,DH,$15500000,2 (2013-14),$26000000,$13000000
"Markakis, Nick",BAL,RF,$15350000,6 (2009-14),$66100000,$11016667
"Pence, Hunter",SF,RF,$15200000,5 (2014-18),$90000000,$18000000
"Molina, Yadier",STL,C,$15200000,5 (2013-17),$75000000,$15000000
"Ramirez, Aramis",MIL,3B,$15137803,3 (2012-14),$36000000,$12000000
"Dunn, Adam",CWS,DH,$15000000,4 (2011-14),$56000000,$14000000
"Swisher, Nick",CLE,1B,$15000000,4 (2013-16),$56000000,$14000000
"Beltran, Carlos",NYY,RF,$15000000,3 (2014-16),$45000000,$15000000
"Utley, Chase",PHI,2B,$15000000,2 (2014-15),$27000000,$13500000
"Burnett, A.J.",PHI,SP,$14707756,2 (2014-15),$22500000,$11250000
"Upton, Justin",ATL,LF,$14458333,6 (2010-15),$51250000,$8541667
"Choo, Shin-Soo",TEX,LF,$14000000,7 (2014-20),$130000000,$18571429
"Zimmerman, Ryan",WSH,3B,$14000000,6 (2014-19),$100000000,$16666667
"Bautista, Jose",TOR,RF,$14000000,5 (2011-15),$65000000,$13000000
"Hunter, Torii",DET,RF,$14000000,2 (2013-14),$26000000,$13000000
"Price, David",TB,SP,$14000000,1 (2014),$14000000,$14000000
"Rios, Alex",TEX,RF,$13500000,7 (2008-14),$69835000,$9976429
"Bourn, Michael",CLE,CF,$13500000,4 (2013-16),$48000000,$12000000
"Shields, James",KC,SP,$13500000,1 (2014),$13500000,$13500000
"Jones, Adam",BAL,CF,$13323520,6 (2013-18),$85500000,$14250000
"Uggla, Dan",ATL,2B,$13146942,5 (2011-15),$62000000,$12400000
"Granderson, Curtis",NYM,RF,$13000000,4 (2014-17),$60000000,$15000000
"Jackson, Edwin",CHC,SP,$13000000,4 (2013-16),$52000000,$13000000
"Papelbon, Jonathan",PHI,RP,$13000000,4 (2012-15),$50000000,$12500000
"Victorino, Shane",BOS,RF,$13000000,3 (2013-15),$39000000,$13000000
"Lester, Jon",BOS,SP,$13000000,1 (2014),$13000000,$13000000
"Rodriguez, Wandy",PIT,SP,$13000000,1 (2014),$13000000,$13000000
"Pedroia, Dustin",BOS,2B,$12625000,8 (2014-21),$110000000,$13750000
"Garza, Matt",MIL,SP,$12209424,4 (2014-17),$50000000,$12500000
"Soriano, Rafael",WSH,RP,$12072657,2 (2013-14),$28000000,$14000000
"Votto, Joey",CIN,1B,$12000000,10 (2014-23),$225000000,$22500000
"Martinez, Victor",DET,DH,$12000000,4 (2011-14),$50000000,$12500000
"Nolasco, Ricky",MIN,SP,$12000000,4 (2014-17),$49000000,$12250000
"Weeks, Rickie",MIL,2B,$12000000,4 (2011-14),$38500000,$9625000
"Billingsley, Chad",LAD,P,$12000000,3 (2012-14),$35000000,$11666667
"Feldman, Scott",HOU,SP,$12000000,3 (2014-16),$30000000,$10000000
"Dickey, R.A.",TOR,SP,$12000000,2 (2014-15),$25000000,$12500000
"LaRoche, Adam",WSH,1B,$12000000,2 (2013-14),$24000000,$12000000
"Jeter, Derek",NYY,SS,$12000000,1 (2014),$12000000,$12000000
"Cuddyer, Michael",COL,RF,$11500000,3 (2012-14),$31500000,$10500000
"Gallardo, Yovani",MIL,SP,$11500000,5 (2010-14),$30100000,$6020000
"Posey, Buster",SF,C,$11277777,9 (2013-21),$167000000,$18555556
"Gordon, Alex",KC,LF,$11250000,4 (2012-15),$37500000,$9375000
"Braun, Ryan",MIL,RF,$11111111,13 (2008-20),$150000000,$11538462
"Phillips, Brandon",CIN,2B,$11083333,6 (2012-17),$72500000,$12083333
"Darvish, Yu",TEX,SP,$11000000,6 (2012-17),$56000000,$9333333
"Prado, Martin",ARI,3B,$11000000,4 (2013-16),$40000000,$10000000
"Hill, Aaron",ARI,2B,$11000000,3 (2014-16),$35000000,$11666667
"Rollins, Jimmy",PHI,SS,$11000000,3 (2012-14),$33000000,$11000000
"Lohse, Kyle",MIL,SP,$11000000,3 (2013-15),$33000000,$11000000
"Hudson, Tim",SF,SP,$11000000,2 (2014-25),$23000000,$11500000
"De La Rosa, Jorge",COL,SP,$11000000,1 (2014),$11000000,$11000000
"Gonzalez, Carlos",COL,LF,$10928571,7 (2011-17),$80000000,$11428571
"Jimenez, Ubaldo",BAL,SP,$10923102,4 (2014-17),$50000000,$12500000
"Headley, Chase",SD,3B,$10525000,1 (2014),$10525000,$10525000
"Cespedes, Yoenis",OAK,LF,$10500000,4 (2012-15),$36000000,$9000000
"Davis, Chris",BAL,1B,$10350000,1 (2014),$10350000,$10350000
"Pagan, Angel",SF,CF,$10250000,4 (2013-16),$40000000,$10000000
"McCarthy, Brandon",ARI,SP,$10250000,2 (2013-14),$15500000,$7750000
"Bruce, Jay",CIN,RF,$10041666,6 (2011-16),$51000000,$8500000
"Montero, Miguel",ARI,C,$10000000,5 (2013-17),$60000000,$12000000
"Bell, Heath",TB,RP,$10000000,3 (2012-14),$27000000,$9000000
"Cueto, Johnny",CIN,SP,$10000000,4 (2011-14),$27000000,$6750000
"Cabrera, Asdrubal",CLE,SS,$10000000,2 (2013-14),$16500000,$8250000
"Wilson, Brian",LAD,RP,$10000000,1 (2014),$10000000,$10000000
"Haren, Dan",LAD,SP,$10000000,1 (2014),$10000000,$10000000
"Johnson, Jim",OAK,RP,$10000000,1 (2014),$10000000,$10000000
"Masterson, Justin",CLE,SP,$9762500,1 (2014),$9762500,$9762500
"Kendrick, Howie",LAA,2B,$9700000,4 (2012-15),$33500000,$8375000
"Ramirez, Alexei",CWS,SS,$9500000,4 (2012-15),$32500000,$8125000
"Ross, Cody",ARI,LF,$9500000,3 (2013-15),$26000000,$8666667
"Arroyo, Bronson",ARI,SP,$9500000,2 (2014-15),$23500000,$11750000
"Martin, Russell",PIT,C,$9500000,2 (2013-14),$17000000,$8500000
"Bailey, Homer",CIN,SP,$9000000,6 (2014-19),$105000000,$17500000
"Encarnacion, Edwin",TOR,1B,$9000000,3 (2013-15),$29000000,$9666667
"Kazmir, Scott",OAK,SP,$9000000,2 (2014-15),$22000000,$11000000
"Colon, Bartolo",NYM,SP,$9000000,2 (2014-15),$20000000,$10000000
"Nathan, Joe",DET,RP,$9000000,2 (2014-15),$20000000,$10000000
"Aybar, Erick",LAA,SS,$8750000,4 (2013-16),$35000000,$8750000
"Abreu, Jose",CWS,1B,$8666667,1 (2014),$8666667,$8666667
"Gonzalez, Gio",WSH,SP,$8600000,5 (2012-16),$42000000,$8400000
"Butler, Billy",KC,DH,$8500000,4 (2011-14),$30000000,$7500000
"Ruiz, Carlos",PHI,C,$8500000,3 (2014-16),$26000000,$8666667
"League, Brandon",LAD,RP,$8500000,3 (2013-15),$22500000,$7500000
"Ludwick, Ryan",CIN,LF,$8500000,2 (2013-14),$15000000,$7500000
"Porcello, Rick",DET,SP,$8500000,1 (2014),$8500000,$8500000
"Sandoval, Pablo",SF,3B,$8250000,3 (2012-14),$17150000,$5716667
"Pierzynski, A.J.",BOS,C,$8250000,1 (2014),$8250000,$8250000
"Harrison, Matt",TEX,SP,$8200000,5 (2013-17),$55000000,$11000000
"Longoria, Evan",TB,3B,$8000018,6 (2017-22),$100000000,$16666667
"Guthrie, Jeremy",KC,SP,$8000000,3 (2013-15),$25000000,$8333333
"Hughes, Phil",MIN,SP,$8000000,3 (2014-16),$24000000,$8000000
"Morrow, Brandon",TOR,SP,$8000000,3 (2012-14),$21000000,$7000000
"Byrd, Marlon",PHI,RF,$8000000,2 (2014-15),$16000000,$8000000
"Cabrera, Melky",TOR,LF,$8000000,2 (2013-14),$16000000,$8000000
"Anderson, Brett",COL,SP,$8000000,1 (2014),$8000000,$8000000
"Johnson, Josh",SD,P,$8000000,1 (2014),$8000000,$8000000
"Cruz, Nelson",BAL,LF,$8000000,1 (2014),$8000000,$8000000
"Buchholz, Clay",BOS,SP,$7950000,4 (2012-15),$29945000,$7486250
"Hardy, J.J.",BAL,SS,$7916666,3 (2012-14),$22250000,$7416667
"Cahill, Trevor",ARI,SP,$7900000,5 (2011-15),$30500000,$6100000
"Garcia, Jaime",STL,SP,$7875000,4 (2012-15),$27000000,$6750000
"Fowler, Dexter",HOU,CF,$7850000,2 (2013-14),$11600000,$5800000
"Wieters, Matt",BAL,C,$7700000,1 (2014),$7700000,$7700000
"Kendrick, Kyle",PHI,SP,$7675000,1 (2014),$7675000,$7675000
"Zimmermann, Jordan",WSH,SP,$7500000,2 (2014-15),$24000000,$12000000
"Crisp, Coco",OAK,CF,$7500000,2 (2015-16),$22000000,$11000000
"Uribe, Juan",LAD,3B,$7500000,2 (2014-15),$15000000,$7500000
"Motte, Jason",STL,RP,$7500000,2 (2013-14),$12000000,$6000000
"McCutchen, Andrew",PIT,CF,$7458333,6 (2012-17),$51500000,$8583333
"Latos, Mat",CIN,SP,$7250000,2 (2013-14),$11500000,$5750000
"Young, Chris",NYM,CF,$7250000,1 (2014),$7250000,$7250000
"Fister, Doug",WSH,SP,$7200000,1 (2014),$7200000,$7200000
"Vargas, Jason",KC,SP,$7000000,4 (2014-17),$32000000,$8000000
"Gomez, Carlos",MIL,CF,$7000000,3 (2014-16),$24000000,$8000000
"Broxton, Jonathan",CIN,RP,$7000000,3 (2013-15),$21000000,$7000000
"Willingham, Josh",MIN,LF,$7000000,3 (2012-14),$21000000,$7000000
"Rodney, Fernando",SEA,RP,$7000000,2 (2014-15),$14000000,$7000000
"Street, Huston",SD,RP,$7000000,2 (2013-14),$14000000,$7000000
"Adams, Mike",PHI,RP,$7000000,2 (2013-14),$12000000,$6000000
"Lind, Adam",TOR,1B,$7000000,1 (2014),$7000000,$7000000
"Zobrist, Ben",TB,2B,$7000000,1 (2014),$7000000,$7000000
"Rasmus, Colby",TOR,CF,$7000000,1 (2014),$7000000,$7000000
"Putz, J.J.",ARI,RP,$7000000,1 (2014),$7000000,$7000000
"Andrus, Elvis",TEX,SS,$6808333,3 (2012-14),$14400000,$4800000
"Scutaro, Marco",SF,2B,$6666666,3 (2013-15),$20000000,$6666667
"Desmond, Ian",WSH,SS,$6500000,2 (2014-15),$17500000,$8750000
"Span, Denard",WSH,CF,$6500000,5 (2010-14),$16500000,$3300000
"Iwakuma, Hisashi",SEA,SP,$6500000,2 (2013-14),$14000000,$7000000
"Suzuki, Ichiro",NYY,RF,$6500000,2 (2013-14),$13000000,$6500000
"Stanton, Giancarlo",MIA,RF,$6500000,1 (2014),$6500000,$6500000
"Romo, Sergio",SF,RP,$6300000,2 (2013-14),$9000000,$4500000
"Benoit, Joaquin",SD,RP,$6232595,2 (2014-15),$15500000,$7750000
"Kennedy, Ian",SD,SP,$6100000,1 (2014),$6100000,$6100000
"Saltalamacchia, Jarrod",MIA,C,$6000000,3 (2014-16),$21000000,$7000000
"Affeldt, Jeremy",SF,RP,$6000000,3 (2013-15),$18000000,$6000000
"Jackson, Austin",DET,CF,$6000000,1 (2014),$6000000,$6000000
"Hart, Corey",SEA,RF,$6000000,1 (2014),$6000000,$6000000
"Liriano, Francisco",PIT,SP,$6000000,1 (2014),$6000000,$6000000
"Hammel, Jason",CHC,SP,$6000000,1 (2014),$6000000,$6000000
"Morse, Michael",SF,LF,$6000000,1 (2014),$6000000,$6000000
"Leake, Mike",CIN,SP,$5925000,1 (2014),$5925000,$5925000
"Clippard, Tyler",WSH,RP,$5875000,1 (2014),$5875000,$5875000
"Castro, Starlin",CHC,SS,$5857142,7 (2013-19),$60000000,$8571428
"Chapman, Aroldis",CIN,RP,$5835772,1 (2014),$5835772,$5835772
"Medlen, Kris",ATL,P,$5800000,1 (2014),$5800000,$5800000
"Walker, Neil",PIT,2B,$5750000,1 (2014),$5750000,$5750000
"Murphy, Daniel",NYM,2B,$5700000,1 (2014),$5700000,$5700000
"Marshall, Sean",CIN,RP,$5625000,3 (2013-15),$16500000,$5500000
"Gardner, Brett",NYY,LF,$5600000,1 (2014),$5600000,$5600000
"Murphy, David",CLE,RF,$5500000,2 (2014-15),$12000000,$6000000
"Howell, J.P.",LAD,RP,$5500000,2 (2014-15),$11250000,$5625000
"Pelfrey, Mike",MIN,SP,$5500000,2 (2014-15),$11000000,$5500000
"Correia, Kevin",MIN,SP,$5500000,2 (2013-14),$10000000,$5000000
"Soria, Joakim",TEX,RP,$5500000,2 (2013-14),$8000000,$4000000
"Freeman, Freddie",ATL,1B,$5484375,8 (2014-21),$135000000,$16875000
"Holland, Derek",TEX,SP,$5400000,5 (2012-16),$28500000,$5700000
"Samardzija, Jeff",CHC,SP,$5345000,1 (2014),$5345000,$5345000
"Norris, Bud",BAL,SP,$5300000,1 (2014),$5300000,$5300000
"Smith, Joe",LAA,RP,$5250000,3 (2014-16),$15750000,$5250000
"Lowrie, Jed",OAK,SS,$5250000,1 (2014),$5250000,$5250000
"Ellis, Mark",STL,2B,$5250000,1 (2014),$5250000,$5250000
"Robertson, David",NYY,RP,$5215000,1 (2014),$5215000,$5215000
"Hochevar, Luke",KC,P,$5210000,1 (2014),$5210000,$5210000
"Happ, J.A.",TOR,SP,$5200000,2 (2013-14),$8900000,$4450000
"Gregerson, Luke",OAK,RP,$5065000,1 (2014),$5065000,$5065000
"Niese, Jon",NYM,P,$5050000,5 (2012-16),$25519500,$5103900
"Freese, David",LAA,3B,$5050000,1 (2014),$5050000,$5050000
"Infante, Omar",KC,2B,$5000000,4 (2014-17),$30250000,$7562500
"Heyward, Jason",ATL,RF,$5000000,2 (2014-15),$13300000,$6650000
"Morneau, Justin",COL,1B,$5000000,2 (2014-15),$12500000,$6250000
"McLouth, Nate",WSH,LF,$5000000,2 (2014-15),$10750000,$5375000
"Villanueva, Carlos",CHC,RP,$5000000,2 (2013-14),$10000000,$5000000
"Gomes, Jonny",BOS,LF,$5000000,2 (2013-14),$10000000,$5000000
"Davis, Rajai",DET,LF,$5000000,2 (2014-15),$10000000,$5000000
"Volquez, Edinson",PIT,SP,$5000000,1 (2014),$5000000,$5000000
"Uehara, Koji",BOS,RP,$5000000,1 (2014),$5000000,$5000000
"Schierholtz, Nate",CHC,RF,$5000000,1 (2014),$5000000,$5000000
"Vogelsong, Ryan",SF,SP,$5000000,1 (2014),$5000000,$5000000
"Escobar, Yunel",TB,SS,$5000000,1 (2014),$5000000,$5000000
"Iannetta, Chris",LAA,C,$4975000,3 (2013-15),$15500000,$5166667
"Callaspo, Alberto",OAK,2B,$4875000,2 (2013-14),$8975000,$4487500
"Chacin, Jhoulys",COL,SP,$4850000,2 (2013-14),$6500000,$3250000
"Parra, Gerardo",ARI,RF,$4850000,1 (2014),$4850000,$4850000
"Davis, Wade",KC,RP,$4800000,4 (2011-14),$12600000,$3150000
"Trumbo, Mark",ARI,LF,$4800000,1 (2014),$4800000,$4800000
"Logan, Boone",COL,RP,$4750000,3 (2014-16),$16500000,$5500000
"Mujica, Edward",BOS,RP,$4750000,2 (2014-15),$9500000,$4750000
"Johnson, Chris",ATL,3B,$4750000,1 (2014),$4750000,$4750000
"Holland, Greg",KC,RP,$4675000,1 (2014),$4675000,$4675000
"Casilla, Santiago",SF,RP,$4666666,3 (2013-15),$15000000,$5000000
"Ziegler, Brad",ARI,RP,$4500000,2 (2014-15),$10500000,$5250000
"Fujikawa, Kyuji",CHC,RP,$4500000,2 (2013-14),$9500000,$4750000
"Axford, John",CLE,RP,$4500000,1 (2014),$4500000,$4500000
"Hernandez, Roberto",PHI,SP,$4500000,1 (2014),$4500000,$4500000
"Smith, Seth",SD,LF,$4500000,1 (2014),$4500000,$4500000
"DeJesus, David",TB,LF,$4375000,2 (2014-15),$10500000,$5250000
"Ryu, Hyun-Jin",LAD,SP,$4333333,6 (2013-18),$36000000,$6000000
"Balfour, Grant",TB,RP,$4315956,2 (2014-15),$12000000,$6000000
"Jansen, Kenley",LAD,RP,$4300000,1 (2014),$4300000,$4300000
"Venable, Will",SD,RF,$4250000,2 (2014-15),$8500000,$4250000
"Grilli, Jason",PIT,RP,$4250000,2 (2013-14),$6750000,$3375000
"De Aza, Alejandro",CWS,LF,$4250000,1 (2014),$4250000,$4250000
"Belisle, Matt",COL,RP,$4250000,1 (2014),$4250000,$4250000
"Alvarez, Pedro",PIT,3B,$4250000,1 (2014),$4250000,$4250000
"Beckham, Gordon",CWS,2B,$4175000,1 (2014),$4175000,$4175000
"Chen, Wei-Yin",BAL,SP,$4155333,3 (2012-14),$11388000,$3796000
"Avila, Alex",DET,C,$4150000,1 (2014),$4150000,$4150000
"Moss, Brandon",OAK,1B,$4100000,1 (2014),$4100000,$4100000
"Stubbs, Drew",COL,CF,$4100000,1 (2014),$4100000,$4100000
"Morton, Charlie",PIT,SP,$4000000,3 (2014-16),$21000000,$7000000
"Lopez, Javier",SF,RP,$4000000,3 (2014-16),$13000000,$4333333
"Keppinger, Jeff",CWS,3B,$4000000,3 (2013-15),$12000000,$4000000
"Hundley, Nick",SD,C,$4000000,3 (2012-14),$9000000,$3000000
"Janssen, Casey",TOR,RP,$4000000,1 (2014),$4000000,$4000000
"Floyd, Gavin",ATL,SP,$4000000,1 (2014),$4000000,$4000000
"Lindstrom, Matt",CWS,RP,$4000000,1 (2014),$4000000,$4000000
"Perkins, Glen",MIN,RP,$3975000,4 (2014-17),$22175000,$5543750
"Strasburg, Stephen",WSH,SP,$3975000,1 (2014),$3975000,$3975000
"Bumgarner, Madison",SF,SP,$3916666,5 (2013-17),$35000000,$7000000
"Wood, Travis",CHC,SP,$3900000,1 (2014),$3900000,$3900000
"Burnett, Sean",LAA,RP,$3875000,2 (2013-14),$8000000,$4000000
"Rodriguez, Alex",NYY,3B,$3868852,1 (2014),$3868852,$3868852
"Breslow, Craig",BOS,RP,$3850000,2 (2013-14),$6250000,$3125000
"Veras, Jose",CHC,RP,$3850000,1 (2014),$3850000,$3850000
"Minor, Mike",ATL,SP,$3850000,1 (2014),$3850000,$3850000
"Frieri, Ernesto",LAA,RP,$3800000,1 (2014),$3800000,$3800000
"Cishek, Steve",MIA,RP,$3800000,1 (2014),$3800000,$3800000
"Martin, Leonys",TEX,CF,$3750000,5 (2011-15),$15500000,$3100000
"Santos, Sergio",TOR,RP,$3750000,3 (2012-14),$8250000,$2750000
"Downs, Scott",CWS,RP,$3750000,1 (2014),$3750000,$3750000
"Puig, Yasiel",LAD,RF,$3714285,7 (2012-18),$42000000,$6000000
"Santana, Carlos",CLE,1B,$3700000,5 (2012-16),$21001900,$4200380
"Parnell, Bobby",NYM,RP,$3700000,1 (2014),$3700000,$3700000
"Joyce, Matt",TB,LF,$3700000,1 (2014),$3700000,$3700000
"Gee, Dillon",NYM,SP,$3625000,1 (2014),$3625000,$3625000
"Hellickson, Jeremy",TB,SP,$3625000,1 (2014),$3625000,$3625000
"Hosmer, Eric",KC,1B,$3600000,1 (2014),$3600000,$3600000
"Ellis, A.J.",LAD,C,$3550000,1 (2014),$3550000,$3550000
"Sale, Chris",CWS,SP,$3500000,5 (2013-17),$32500000,$6500000
"Thornton, Matt",NYY,RP,$3500000,2 (2014-15),$7000000,$3500000
"Doumit, Ryan",ATL,C,$3500000,2 (2013-14),$7000000,$3500000
"Aviles, Mike",CLE,3B,$3500000,2 (2013-14),$6000000,$3000000
"Chavez, Eric",ARI,3B,$3500000,1 (2014),$3500000,$3500000
"Davis, Ike",NYM,1B,$3500000,1 (2014),$3500000,$3500000
"Storen, Drew",WSH,RP,$3450000,1 (2014),$3450000,$3450000
"Estrada, Marco",MIL,SP,$3325000,1 (2014),$3325000,$3325000
"Nova, Ivan",NYY,SP,$3300000,1 (2014),$3300000,$3300000
"Burton, Jared",MIN,RP,$3250000,2 (2013-14),$5500000,$2750000
"Pennington, Cliff",ARI,SS,$3250000,2 (2013-14),$5000000,$2500000
"Rodriguez, Francisco",MIL,RP,$3250000,1 (2014),$3250000,$3250000
"Crain, Jesse",HOU,P,$3250000,1 (2014),$3250000,$3250000
"Jay, Jon",STL,CF,$3250000,1 (2014),$3250000,$3250000
"O`Day, Darren",BAL,RP,$3200000,2 (2013-14),$5800000,$2900000
"Gorzelanny, Tom",MIL,RP,$3150000,2 (2013-14),$5700000,$2850000
"Luebke, Cory",SD,P,$3125000,4 (2012-15),$12000000,$3000000
"Ross, David",BOS,C,$3100000,2 (2013-14),$6200000,$3100000
"Soto, Geovany",TEX,C,$3050000,1 (2014),$3050000,$3050000
"Escobar, Alcides",KC,SS,$3000000,4 (2012-15),$10500000,$2625000
"Izturis, Maicer",TOR,2B,$3000000,3 (2013-15),$10000000,$3333333
"Navarro, Dioner",TOR,C,$3000000,2 (2014-15),$8000000,$4000000
"Choate, Randy",STL,RP,$3000000,3 (2013-15),$7500000,$2500000
"Peralta, Joel",TB,RP,$3000000,2 (2013-14),$6000000,$3000000
"Chen, Bruce",KC,SP,$3000000,1 (2014),$3000000,$3000000
"Johnson, Kelly",NYY,3B,$3000000,1 (2014),$3000000,$3000000
"Furcal, Rafael",MIA,2B,$3000000,1 (2014),$3000000,$3000000
"Belisario, Ronald",CWS,RP,$3000000,1 (2014),$3000000,$3000000
"Detwiler, Ross",WSH,RP,$3000000,1 (2014),$3000000,$3000000
"Hunter, Tommy",BAL,RP,$3000000,1 (2014),$3000000,$3000000
"Tabata, Jose",PIT,RF,$2916666,6 (2011-16),$15000000,$2500000
"Belt, Brandon",SF,1B,$2900000,1 (2014),$2900000,$2900000
"Bloomquist, Willie",SEA,SS,$2800000,2 (2014-15),$5800000,$2900000
"Viciedo, Dayan",CWS,RF,$2800000,1 (2014),$2800000,$2800000
"Craig, Allen",STL,RF,$2750000,5 (2013-17),$31000000,$6200000
"Hanigan, Ryan",TB,C,$2750000,3 (2014-16),$10750000,$3583333
"Jones, Garrett",MIA,1B,$2750000,2 (2014-15),$7750000,$3875000
"Qualls, Chad",HOU,RP,$2750000,2 (2014-15),$6000000,$3000000
"Stults, Eric",SD,SP,$2750000,1 (2014),$2750000,$2750000
"Suzuki, Kurt",MIN,C,$2750000,1 (2014),$2750000,$2750000
"Punto, Nick",OAK,2B,$2750000,1 (2014),$2750000,$2750000
"Ibanez, Raul",LAA,LF,$2750000,1 (2014),$2750000,$2750000
"Rendon, Anthony",WSH,3B,$2700000,4 (2011-14),$7200000,$1800000
"Reddick, Josh",OAK,RF,$2700000,1 (2014),$2700000,$2700000
"Loney, James",TB,1B,$2666666,3 (2014-16),$21000000,$7000000
"Moreland, Mitch",TEX,1B,$2650000,1 (2014),$2650000,$2650000
"Smoak, Justin",SEA,1B,$2637500,1 (2014),$2637500,$2637500
"Ogando, Alexi",TEX,RP,$2625000,1 (2014),$2625000,$2625000
"Melancon, Mark",PIT,RP,$2595000,1 (2014),$2595000,$2595000
"Blanco, Gregor",SF,CF,$2525000,1 (2014),$2525000,$2525000
"Hairston, Scott",WSH,LF,$2500000,2 (2013-14),$5000000,$2500000
"Bonifacio, Emilio",CHC,CF,$2500000,1 (2014),$2500000,$2500000
"Chamberlain, Joba",DET,RP,$2500000,1 (2014),$2500000,$2500000
"Cabrera, Everth",SD,SS,$2450000,1 (2014),$2450000,$2450000
"Castro, Jason",HOU,C,$2450000,1 (2014),$2450000,$2450000
"Cashner, Andrew",SD,SP,$2400000,1 (2014),$2400000,$2400000
"Matusz, Brian",BAL,RP,$2400000,1 (2014),$2400000,$2400000
"Brantley, Michael",CLE,LF,$2375000,4 (2014-17),$25000000,$6250000
"Thatcher, Joe",ARI,RP,$2375000,1 (2014),$2375000,$2375000
"Plouffe, Trevor",MIN,3B,$2350000,1 (2014),$2350000,$2350000
"Perez, Chris",LAD,RP,$2300000,1 (2014),$2300000,$2300000
"Barney, Darwin",CHC,2B,$2300000,1 (2014),$2300000,$2300000
"Sanchez, Gaby",PIT,1B,$2300000,1 (2014),$2300000,$2300000
"Jaso, John",OAK,C,$2300000,1 (2014),$2300000,$2300000
"Saunders, Michael",SEA,RF,$2300000,1 (2014),$2300000,$2300000
"Konerko, Paul",CWS,1B,$2259815,1 (2014),$2259815,$2259815
"Raburn, Ryan",CLE,LF,$2250000,2 (2014-15),$4850000,$2425000
"Denorfia, Chris",SD,RF,$2250000,2 (2013-14),$4250000,$2125000
