NAME,TEAM,POS,SALARY,YEARS,TOTAL VALUE,AVG ANNUAL
"Lucas, Ed",MIA,2B,$510000,1 (2014),$510000,$510000
"Sogard, Eric",OAK,2B,$510000,1 (2014),$510000,$510000
"Putkonen, Luke",DET,RP,$510000,1 (2014),$510000,$510000
"Wacha, Michael",STL,SP,$510000,1 (2014),$510000,$510000
"Delgado, Randall",ARI,RP,$510000,1 (2014),$510000,$510000
"Milone, Tommy",OAK,SP,$510000,1 (2014),$510000,$510000
"Harris, Will",ARI,RP,$510000,1 (2014),$510000,$510000
"Forsythe, Logan",TB,2B,$509700,1 (2014),$509700,$509700
"Harrell, Lucas",HOU,SP,$509700,1 (2014),$509700,$509700
"Mejia, Jenrry",NYM,RP,$509675,1 (2014),$509675,$509675
"Campana, Tony",ARI,CF,$509500,1 (2014),$509500,$509500
"Torres, Alex",SD,RP,$509000,1 (2014),$509000,$509000
"Maness, Seth",STL,RP,$509000,1 (2014),$509000,$509000
"Keuchel, Dallas",HOU,SP,$508700,1 (2014),$508700,$508700
"Gomes, Brandon",TB,RP,$507800,1 (2014),$507800,$507800
"Jeffress, Jeremy",TOR,RP,$507600,1 (2014),$507600,$507600
"Hicks, Aaron",MIN,CF,$507500,1 (2014),$507500,$507500
"Gearrin, Cory",ATL,P,$507500,1 (2014),$507500,$507500
"Escobar, Eduardo",MIN,SS,$507500,1 (2014),$507500,$507500
"Van Slyke, Scott",LAD,LF,$507500,1 (2014),$507500,$507500
"Pollock, A.J.",ARI,CF,$507000,1 (2014),$507000,$507000
"Kintzler, Brandon",MIL,RP,$507000,1 (2014),$507000,$507000
"Sanchez, Tony",PIT,C,$507000,1 (2014),$507000,$507000
"Satin, Josh",NYM,1B,$506809,1 (2014),$506809,$506809
"Lagares, Juan",NYM,CF,$506636,1 (2014),$506636,$506636
"Withrow, Chris",LAD,RP,$506500,1 (2014),$506500,$506500
"Fields, Josh",HOU,RP,$506500,1 (2014),$506500,$506500
"Pryor, Stephen",SEA,RP,$506500,1 (2014),$506500,$506500
"Rivera, Rene",SD,C,$506400,1 (2014),$506400,$506400
"Wood, Alex",ATL,SP,$506250,1 (2014),$506250,$506250
"Roark, Tanner",WSH,SP,$506100,1 (2014),$506100,$506100
"Cowgill, Collin",LAA,RF,$506000,1 (2014),$506000,$506000
"Calhoun, Kole",LAA,RF,$506000,1 (2014),$506000,$506000
"Profar, Jurickson",TEX,2B,$505750,1 (2014),$505750,$505750
"Redmond, Todd",TOR,RP,$505700,1 (2014),$505700,$505700
"Grimm, Justin",CHC,RP,$505500,1 (2014),$505500,$505500
"Garcia, Leury",CWS,2B,$505500,1 (2014),$505500,$505500
"Pimentel, Stolmy",PIT,RP,$505500,1 (2014),$505500,$505500
"Recker, Anthony",NYM,C,$505340,1 (2014),$505340,$505340
"Corporan, Carlos",HOU,C,$505300,1 (2014),$505300,$505300
"Bass, Anthony",HOU,RP,$505200,1 (2014),$505200,$505200
"Griffin, A.J.",OAK,P,$505000,1 (2014),$505000,$505000
"Rondon, Bruce",DET,P,$505000,1 (2014),$505000,$505000
"Martinez, Carlos",STL,RP,$505000,1 (2014),$505000,$505000
"Colabello, Chris",MIN,RF,$505000,1 (2014),$505000,$505000
"Yelich, Christian",MIA,LF,$505000,1 (2014),$505000,$505000
"Straily, Dan",OAK,SP,$505000,1 (2014),$505000,$505000
"Huff, David",SF,RP,$505000,1 (2014),$505000,$505000
"Norris, Derek",OAK,C,$505000,1 (2014),$505000,$505000
"Pomeranz, Drew",OAK,SP,$505000,1 (2014),$505000,$505000
"Scribner, Evan",OAK,RP,$505000,1 (2014),$505000,$505000
"Machi, Jean",SF,RP,$505000,1 (2014),$505000,$505000
"Siegrist, Kevin",STL,RP,$505000,1 (2014),$505000,$505000
"Schafer, Logan",MIL,LF,$505000,1 (2014),$505000,$505000
"Ozuna, Marcell",MIA,CF,$505000,1 (2014),$505000,$505000
"Cook, Ryan",OAK,RP,$505000,1 (2014),$505000,$505000
"Doolittle, Sean",OAK,RP,$505000,1 (2014),$505000,$505000
"Clevenger, Steve",BAL,C,$505000,1 (2014),$505000,$505000
"Thornburg, Tyler",MIL,RP,$505000,1 (2014),$505000,$505000
"Germen, Gonzalez",NYM,RP,$504875,1 (2014),$504875,$504875
"Carrasco, Carlos",CLE,SP,$504700,1 (2014),$504700,$504700
"Sierra, Moises",TOR,RF,$504700,1 (2014),$504700,$504700
"Bueno, Francisley",KC,RP,$504500,1 (2014),$504500,$504500
"Gonzalez, Marwin",HOU,SS,$504500,1 (2014),$504500,$504500
"Erlin, Robbie",SD,SP,$504500,1 (2014),$504500,$504500
"Grossman, Robbie",HOU,LF,$504500,1 (2014),$504500,$504500
"Nuno, Vidal",NYY,SP,$504500,1 (2014),$504500,$504500
"McAllister, Zach",CLE,SP,$504500,1 (2014),$504500,$504500
"Peacock, Brad",HOU,SP,$504300,1 (2014),$504300,$504300
"Jordan, Taylor",WSH,SP,$504300,1 (2014),$504300,$504300
"Lueke, Josh",TB,RP,$504200,1 (2014),$504200,$504200
"Myers, Wil",TB,RF,$504200,1 (2014),$504200,$504200
"Ortiz, Joe",TEX,P,$504112,1 (2014),$504112,$504112
"Zunino, Mike",SEA,C,$504100,1 (2014),$504100,$504100
"Romine, Andrew",DET,SS,$504000,1 (2014),$504000,$504000
"Krol, Ian",DET,RP,$504000,1 (2014),$504000,$504000
"Stinson, Josh",BAL,RP,$504000,1 (2014),$504000,$504000
"Gennett, Scooter",MIL,2B,$504000,1 (2014),$504000,$504000
"Villar, Jonathan",HOU,SS,$503800,1 (2014),$503800,$503800
"Oberholtzer, Brett",HOU,SP,$503600,1 (2014),$503600,$503600
"Paxton, James",SEA,SP,$503500,1 (2014),$503500,$503500
"Chapman, Kevin",HOU,RP,$503400,1 (2014),$503400,$503400
"Hutchison, Drew",TOR,SP,$503200,1 (2014),$503200,$503200
"Odorizzi, Jake",TB,SP,$503100,1 (2014),$503100,$503100
"Reed, Evan",DET,RP,$503000,1 (2014),$503000,$503000
"Davis, Khris",MIL,LF,$503000,1 (2014),$503000,$503000
"Hoes, L.J.",HOU,LF,$502900,1 (2014),$502900,$502900
"Colome, Alex",TB,SP,$502600,1 (2014),$502600,$502600
"Familia, Jeurys",NYM,RP,$502550,1 (2014),$502550,$502550
"Otero, Dan",OAK,RP,$502500,1 (2014),$502500,$502500
"Hale, David",ATL,SP,$502500,1 (2014),$502500,$502500
"Lake, Junior",CHC,LF,$502500,1 (2014),$502500,$502500
"Gibson, Kyle",MIN,SP,$502500,1 (2014),$502500,$502500
"Gray, Sonny",OAK,SP,$502500,1 (2014),$502500,$502500
"Walker, Taijuan",SEA,SP,$502400,1 (2014),$502400,$502400
"Krauss, Marc",HOU,1B,$502300,1 (2014),$502300,$502300
"Skaggs, Tyler",LAA,SP,$502250,1 (2014),$502250,$502250
"Chirinos, Robinson",TEX,C,$502232,1 (2014),$502232,$502232
"Figueroa, Pedro",TEX,RP,$502163,1 (2014),$502163,$502163
"Betances, Dellin",NYY,RP,$502150,1 (2014),$502150,$502150
"Tolleson, Shawn",TEX,RP,$502082,1 (2014),$502082,$502082
"Ottavino, Adam",COL,RP,$502000,1 (2014),$502000,$502000
"White, Alex",HOU,P,$502000,1 (2014),$502000,$502000
"Holaday, Bryan",DET,C,$502000,1 (2014),$502000,$502000
"Beltre, Engel",TEX,OF,$502000,1 (2014),$502000,$502000
"Bianchi, Jeff",MIL,SS,$502000,1 (2014),$502000,$502000
"Pacheco, Jordan",COL,C,$502000,1 (2014),$502000,$502000
"Maldonado, Martin",MIL,C,$502000,1 (2014),$502000,$502000
"Olt, Mike",CHC,3B,$502000,1 (2014),$502000,$502000
"Brothers, Rex",COL,RP,$502000,1 (2014),$502000,$502000
"Wright, Steven",BOS,RP,$502000,1 (2014),$502000,$502000
"Gosewisch, Tuffy",ARI,C,$502000,1 (2014),$502000,$502000
"Chatwood, Tyler",COL,SP,$502000,1 (2014),$502000,$502000
"Rosario, Wilin",COL,C,$502000,1 (2014),$502000,$502000
"Smith, Will",MIL,RP,$502000,1 (2014),$502000,$502000
"Almonte, Abraham",SEA,CF,$501900,1 (2014),$501900,$501900
"Wieland, Joe",SD,SP,$501600,1 (2014),$501600,$501600
"d`Arnaud, Travis",NYM,C,$501560,1 (2014),$501560,$501560
"Jennings, Dan",MIA,RP,$501500,1 (2014),$501500,$501500
"Salazar, Danny",CLE,SP,$501500,1 (2014),$501500,$501500
"Dietrich, Derek",MIA,2B,$501500,1 (2014),$501500,$501500
"Kelly, Casey",SD,SP,$501400,1 (2014),$501400,$501400
"Davis, Erik",WSH,P,$501400,1 (2014),$501400,$501400
"Guyer, Brandon",TB,LF,$501200,1 (2014),$501200,$501200
"Medica, Tommy",SD,1B,$501200,1 (2014),$501200,$501200
"Barnes, Brandon",COL,RF,$501000,1 (2014),$501000,$501000
"Blackmon, Charlie",COL,CF,$501000,1 (2014),$501000,$501000
"LeMahieu, DJ",COL,2B,$501000,1 (2014),$501000,$501000
"Adduci, James",TEX,OF,$501000,1 (2014),$501000,$501000
"Perez, Juan",SF,LF,$501000,1 (2014),$501000,$501000
"Cleto, Maikel",CWS,RP,$501000,1 (2014),$501000,$501000
"Choice, Michael",TEX,LF,$501000,1 (2014),$501000,$501000
"Maronde, Nick",LAA,RP,$501000,1 (2014),$501000,$501000
"Brasier, Ryan",LAA,P,$500750,1 (2014),$500750,$500750
"Partch, Curtis",CIN,RP,$500500,1 (2014),$500500,$500500
"Schoop, Jonathan",BAL,2B,$500500,1 (2014),$500500,$500500
"Shoemaker, Matt",LAA,SP,$500500,1 (2014),$500500,$500500
"Ventura, Yordano",KC,SP,$500500,1 (2014),$500500,$500500
"Beckham, Tim",TB,SS,$500200,1 (2014),$500200,$500200
"Adrianza, Ehire",SF,2B,$500050,1 (2014),$500050,$500050
"Marte, Starling",PIT,LF,$500000,6 (2014-19),$31000000,$5166667
"Barrett, Aaron",WSH,RP,$500000,1 (2014),$500000,$500000
"Nieto, Adrian",CWS,C,$500000,1 (2014),$500000,$500000
"Wojciechowski, Asher",HOU,P,$500000,1 (2014),$500000,$500000
"Rosenberg, B.J.",PHI,RP,$500000,1 (2014),$500000,$500000
"Hamilton, Billy",CIN,CF,$500000,1 (2014),$500000,$500000
"Hand, Brad",MIA,SP,$500000,1 (2014),$500000,$500000
"Marshall, Brett",CIN,P,$500000,1 (2014),$500000,$500000
"Moran, Brian",LAA,P,$500000,1 (2014),$500000,$500000
"Schlitter, Brian",CHC,RP,$500000,1 (2014),$500000,$500000
"Hernandez, Cesar",PHI,3B,$500000,1 (2014),$500000,$500000
"Bettis, Chad",COL,RP,$500000,1 (2014),$500000,$500000
"Culberson, Charlie",COL,SS,$500000,1 (2014),$500000,$500000
"Owings, Chris",ARI,SS,$500000,1 (2014),$500000,$500000
"Asche, Cody",PHI,3B,$500000,1 (2014),$500000,$500000
"Dickerson, Corey",COL,CF,$500000,1 (2014),$500000,$500000
"Webb, Daniel",CWS,RP,$500000,1 (2014),$500000,$500000
"Ruf, Darin",PHI,RF,$500000,1 (2014),$500000,$500000
"Anna, Dean",NYY,SS,$500000,1 (2014),$500000,$500000
"Roach, Donn",SD,RP,$500000,1 (2014),$500000,$500000
"Johnson, Erik",CWS,SP,$500000,1 (2014),$500000,$500000
"Martin, Ethan",PHI,RP,$500000,1 (2014),$500000,$500000
"Galvis, Freddy",PHI,3B,$500000,1 (2014),$500000,$500000
"Schlosser, Gus",ATL,RP,$500000,1 (2014),$500000,$500000
"Thomas, Ian",ATL,RP,$500000,1 (2014),$500000,$500000
"Cosart, Jarred",HOU,SP,$500000,1 (2014),$500000,$500000
"Parker, Jarrod",OAK,P,$500000,1 (2014),$500000,$500000
"Saunders, Joe",TEX,SP,$500000,1 (2014),$500000,$500000
"Donaldson, Josh",OAK,3B,$500000,1 (2014),$500000,$500000
"Pinto, Josmil",MIN,C,$500000,1 (2014),$500000,$500000
"Butler, Keith",STL,RP,$500000,1 (2014),$500000,$500000
"Wong, Kolten",STL,2B,$500000,1 (2014),$500000,$500000
"Semien, Marcus",CWS,3B,$500000,1 (2014),$500000,$500000
"Hollands, Mario",PHI,RP,$500000,1 (2014),$500000,$500000
"Almanzar, Michael",BAL,3B,$500000,1 (2014),$500000,$500000
"De Los Santos, Miguel",MIL,P,$500000,1 (2014),$500000,$500000
"Soto, Neftali",CIN,1B,$500000,1 (2014),$500000,$500000
"Castellanos, Nick",DET,3B,$500000,1 (2014),$500000,$500000
"Christiani, Nick",CIN,RP,$500000,1 (2014),$500000,$500000
"Arenado, Nolan",COL,3B,$500000,1 (2014),$500000,$500000
