uid,lat,lng,locCount
41368299,39.24052,-76.508,1
42701247,39.240604,-76.691956,1
39174423,39.240646,-76.641205,3
39120336,39.24067,-76.66507,1
66158899,39.240826,-76.44537,1
65946718,39.24096,-76.607994,1
46041795,39.241184,-76.67872,1
65992915,39.24133,-76.607315,1
40786422,39.241333,-76.60697,1
55830312,39.241352,-76.6081,1
39581862,39.24137,-76.60696,1
40222485,39.24151,-76.60739,1
42716091,39.241512,-76.67905,1
39168237,39.24153,-76.447,1
39382845,39.241535,-76.679016,1
39186273,39.241543,-76.676735,1
41610666,39.24159,-76.69529,1
46093722,39.24167,-76.44731,1
39137778,39.24223,-76.515976,1
3708252,39.242233,-76.44854,1
40407687,39.24224,-76.65033,1
41536332,39.24231,-76.65029,1
65945242,39.24232,-76.63397,1
42648147,39.242332,-76.64112,1
66603992,39.242355,-76.60766,1
40780275,39.24262,-76.51068,1
11451560,39.242996,-76.63514,1
11613616,39.243004,-76.66547,1
42692508,39.24302,-76.512764,1
40761828,39.243374,-76.508255,1
39426723,39.24339,-76.66485,2
42690654,39.243702,-76.67751,1
40277583,39.243786,-76.63243,1
39375855,39.24385,-76.63161,1
41847966,39.243866,-76.63422,1
40786386,39.243954,-76.63317,1
63015781,39.244,-76.66152,1
40721322,39.244087,-76.695366,1
40205304,39.24448,-76.632614,1
40268445,39.244488,-76.631645,1
62942635,39.244556,-76.51055,1
39884784,39.24464,-76.6744,1
40383993,39.24482,-76.6672,1
66789425,39.244827,-76.659935,1
39424803,39.24483,-76.50752,1
39259179,39.244877,-76.64303,1
55807503,39.245113,-76.678,1
55808712,39.245117,-76.63499,1
41329284,39.24517,-76.64108,1
39252708,39.2452,-76.678215,1
63276910,39.24548,-76.62619,1
66159673,39.245552,-76.51407,1
40227537,39.24559,-76.634346,1
42637551,39.245632,-76.66572,1
39059253,39.245678,-76.679535,1
39841578,39.24569,-76.67842,1
62995891,39.245766,-76.67977,1
40408569,39.245796,-76.69184,1
66781487,39.245865,-76.628456,1
45994839,39.245888,-76.6622,1
39186318,39.24613,-76.67353,1
12000203,39.24615,-76.67416,1
6429942,39.24617,-76.707535,2
39401334,39.246178,-76.63555,1
65652678,39.246273,-76.67989,1
63264418,39.246326,-76.67318,1
67014726,39.246387,-76.68193,1
42649491,39.24658,-76.51432,1
11426356,39.24685,-76.692024,1
39196200,39.247032,-76.679344,1
41722146,39.247055,-76.67933,1
39436527,39.24706,-76.69232,2
39764172,39.247192,-76.69454,1
46016925,39.247192,-76.62365,1
38971281,39.247194,-76.694545,1
41332473,39.247272,-76.65107,1
55809540,39.2473,-76.6403,1
65628111,39.24731,-76.683876,2
56142372,39.24732,-76.69295,1
39033945,39.247417,-76.6217,1
40933356,39.24742,-76.67224,1
65809260,39.24745,-76.61819,1
40291668,39.24746,-76.692444,1
39811845,39.247505,-76.65043,1
41329425,39.247536,-76.65034,1
40202526,39.247643,-76.45773,1
39822261,39.247715,-76.69258,1
12464884,39.24772,-76.63442,1
63293461,39.24779,-76.62899,1
39915768,39.24781,-76.640114,1
41725602,39.247837,-76.459755,1
42667104,39.24785,-76.648384,1
41394597,39.24786,-76.64007,1
41748900,39.247902,-76.64045,1
11627336,39.247948,-76.648415,1
39887850,39.24795,-76.640045,1
40404753,39.247963,-76.63596,1
40377564,39.247974,-76.64004,1
54004668,39.247982,-76.648125,1
39998409,39.247993,-76.64808,1
11548328,39.24801,-76.64803,1
39259575,39.24802,-76.64799,1
41598162,39.248024,-76.64853,1
40358901,39.248043,-76.640015,1
39226809,39.248047,-76.64789,1
41077230,39.248055,-76.64888,1
41889297,39.24807,-76.6478,1
65653308,39.248093,-76.648735,1
39641961,39.248096,-76.6477,1
11529400,39.248096,-76.617226,1
39899808,39.2481,-76.6919,1
39249132,39.24812,-76.647606,1
39420204,39.248146,-76.63935,1
40384227,39.248158,-76.64698,1
63267199,39.24822,-76.64728,1
42653193,39.24826,-76.69351,1
39088113,39.24827,-76.67094,3
40398444,39.248287,-76.685616,2
38994963,39.248288,-76.685612,1
40230552,39.2483,-76.639984,1
39378180,39.24836,-76.68572,4
40399947,39.248383,-76.68576,1
39867951,39.248405,-76.639915,1
40388961,39.248726,-76.6934,1
53995062,39.24876,-76.69372,1
6636545,39.248783,-76.68644,1
66165874,39.24879,-76.68645,1
40218861,39.24882,-76.63005,1
39164844,39.248825,-76.6918,1
65632863,39.24884,-76.64786,1
41545482,39.24887,-76.64712,1
40185183,39.248886,-76.67245,2
42621387,39.24894,-76.64713,1
40251903,39.248974,-76.45802,2
40271577,39.248985,-76.62619,1
62922352,39.24903,-76.63965,6
65995105,39.24904,-76.62696,1
40781790,39.249043,-76.624016,1
40706553,39.24905,-76.624016,1
41546193,39.249096,-76.629486,1
