:@computed_region_s6p5_2pgr,balance,citation,councildistrict,description,expmm,expyy,importdate,location,location_2,location_2_address,location_2_city,location_2_state,location_2_zip,make,neighborhood,noticedate,openfine,openpenalty,penaltydate,policedistrict,state,tag,violcode,violdate,violfine
27307.0,0,1622034,12.0,No Parking/Standing In Transit Stop,9.0,17,2017-09-27T04:02:00.000,2123 N CHARLES ST,POINT (-76.616731 39.313931),2123 N CHARLES ST,Baltimore,MD,,NISS,Charles North,,77,0,,Northern,NY,HJE1026,16,2017-09-14T23:55:00.000,77
,0,50288381,,Red Light Violation,9.0,18,2017-12-06T04:02:00.000,W Northern Pkwy WB @ Greenspri,,W Northern Pkwy WB,Baltimore,MD,,NISS,,,0,0,,,MD,9CN8933,30,2017-11-21T20:25:00.000,75
,0,50289165,,Red Light Violation,0.0,0,2017-12-06T04:02:00.000,Harford Rd NB @ The Alameda,,Harford Rd NB,Alameda Baltimore,MD,,HON,,,0,0,,,NJ,C96FET,30,2017-11-21T14:42:00.000,75
,0,50294710,,Red Light Violation,7.0,18,2017-12-07T04:04:00.000,Pulaski Hwy EB @ N North Point,,N Pulaski Hwy EB,Baltimore,MD,,HOND,,,0,0,,,MD,6CL2980,30,2017-11-22T18:58:00.000,75
27307.0,0,61864956,,No Stop/Park Street Cleaning,5.0,18,2017-10-24T04:02:00.000,400 21ST ST,POINT (-76.611055 39.313445),400 21ST ST,Baltimore,MD,,LINCO,,,52,0,,,MD,3CW4904,27,2017-10-20T12:23:00.000,52
,0,50302976,,Red Light Violation,7.0,18,2017-12-08T08:54:00.000,W Northern Pkwy WB @ Greenspri,,W Northern Pkwy WB,Baltimore,MD,,HOND,,,0,0,,,MD,837M613,30,2017-11-25T12:56:00.000,75
27301.0,0,2018174,,No Parking/Standing In Transit Stop,3.0,17,2017-11-21T04:02:00.000,2100 W EDMONDSON AVE,POINT (-76.650679 39.295029),2100 W EDMONDSON AVE,Baltimore,MD,,NISS,,,252,0,,,MD,5CS4244,16,2017-10-31T23:55:00.000,252
,0,50307314,,Red Light Violation,5.0,18,2017-12-10T04:02:00.000,Harford Rd NB @ The Alameda,,Harford Rd NB,Alameda Baltimore,MD,,HOND,,,0,0,,,MD,6DXN17,30,2017-11-26T11:47:00.000,75
,0,50311001,,Red Light Violation,1.0,19,2017-12-10T04:02:00.000,N Calvert St NB @ E Baltimore,,N E Calvert St NB,Baltimore,MD,,VOLK,,,0,0,,,MD,2CV3526,30,2017-11-27T12:17:00.000,75
,0,50311399,,Red Light Violation,7.0,19,2017-12-10T04:02:00.000,W Northern Pkwy WB @ Falls Rd,,W Northern Pkwy WB,Baltimore,MD,,KIA,,,0,0,,,MD,3CW6691,30,2017-11-27T16:03:00.000,75
